,H2OT_3550_SAT,H2Om_5200_M,H2Om_5200_M_STD,OH_4500_M,OH_4500_M_STD,P_H5200_S2N,P_H4500_S2N,ERR_5200,ERR_4500
FR04MI05b,-,1.9196331871345524,0.5677787601142262,2.030212644538441,0.6102906786405636,3.151666416296266,6.449584377008896,*,-
FR04MI05c,-,1.8193361090479367,0.49943565853654265,2.00604066295376,0.5844029183412413,3.6177613964397994,4.944372694497582,*,-
FR04MI07a,-,8.367188349407721,2.039587787250663,4.375487495771108,1.3037645201639474,2.908770113670615,1.5039895192394077,*,*
FR04MI07b,-,2.4547340936146984,0.6316507756232732,2.1164348307503755,0.5664836502717543,1.9161533682041336,1.157478849907811,*,*
FR04MI07c,-,2.419963176409869,0.589423447162138,1.385377575499715,0.3648597631892838,2.0471161256382633,1.1942608681110605,*,*
FR04MI08a,-,1.094958886142709,0.29214762277181666,2.862549816288525,0.8358893827143377,1.3750874244755764,4.922965000971913,*,-
FR04MI08b,-,1.2865537765617736,0.3338065952230295,1.8036104209838533,0.504962460439731,2.6820505034659146,3.728183208991563,*,*
FR04MI08c,-,0.9110636687090355,0.23625272154350632,1.5840442157859795,0.43507763062709465,1.6164361073562645,4.875707625162573,*,-
FR04MI08d,-,0.765455350407042,0.20020089339585714,1.8946624402307584,0.538926707362906,1.8167977049151094,5.005510275343678,*,-
FR06MI01a,-,1.9905624755951874,0.4986319212164216,1.821005866218597,0.48344112874328926,5.3725330782883205,7.373448082763448,-,-
FR06MI01b,-,1.6210342307022365,0.4096955650698183,1.9048763596909022,0.5137290739576542,4.677787009618207,4.721255995701029,-,-
FR06MI01c,-,2.2075901037257655,0.6456344241600207,2.431936653904018,0.6666427331612461,4.092075720247208,4.865793211759836,-,-
FR06MI02a,-,3.1485116579344123,0.8152133251004724,1.8996582622870408,0.5165610903490483,5.957949659171228,5.6906326864291605,-,-
FR06MI02b,-,2.8642447056912954,0.7624419215812109,1.730562248488979,0.4713292365756236,5.944317270627937,4.2956980248050405,-,-
FR06MI02c,-,3.4245996826617424,0.8962676644379098,2.0683608960707733,0.5749809297002841,6.273603299988031,4.586596220079005,-,-
FR06MI03a,-,10.224723319285253,124.47330347416558,6.21339724070424,101.13763918157123,3.8460108961681407,3.1792604520309524,*,*
FR06MI03b,-,7.1860496860431295,90.3759949303286,4.967198887100719,199.16486838663425,2.208049468330982,2.519213438499373,*,*
FR06MI03c,-,9.839646071528355,88.10556936766862,4.632505360753237,39.39144203946832,3.17735323105518,2.4291036822190097,*,*
FR06MI04a,-,1.8573325894377666,0.45747188039725634,1.6971264386262321,0.4235875474815296,3.751961991982167,3.9488422010827637,*,*
FR06MI04b,-,1.116215928943534,0.2592432696487692,1.3418711244619077,0.3393497148948353,1.379087186773175,3.083662410261027,*,*
FR06MI04c,-,1.2219084605933692,0.43812069291250333,1.4012008350913447,0.3563900854605805,2.4715157242092864,3.477969445821767,*,*
