,H2OT_3550_M,H2OT_3550_STD,H2Om_1635_BP,H2Om_1635_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD
STD_D1010_021720_256s_80x80_c,1.1814207306813391,0.08660737063803527,0.17150752770857292,0.028477789573295026,216.24518002488412,12.64467507286032,180.9636686451478,12.50465214716892
STD_D1010_021920_256s_100x100_a,1.2202791994389925,0.08951855411110743,0.16908345291662044,0.028039077540503204,216.0550844164599,12.747791919692487,177.62640248087297,12.494569604591572
STD_D1010_021920_256s_100x100_b,1.2079900313195924,0.08859750381981554,0.16846193318370775,0.0279629186913201,210.90776503571135,12.725060133832311,168.98592973271096,12.778889342805007
STD_D1010_021920_256s_100x100_c,1.2095504302151112,0.08886590256782816,0.16944399624339213,0.028096663211010293,219.11699812251393,12.97272933858857,179.57348115596565,13.120409313714186
STD_D1010_022120_256s_100x100_a,1.184898215697131,0.08701473698728805,0.16752912255882357,0.027779688613705507,200.33819174554307,12.059763563239025,162.97189206924733,12.054234538329013
STD_D1010_022120_256s_100x100_b,1.1936887044538549,0.08757431617979271,0.16906605650207662,0.028063451458751915,205.99085631573016,12.48000513953982,169.95550652769714,12.742277379629197
STD_D1010_022120_256s_100x100_c,1.1998651382402643,0.08811613311891829,0.16793516037243902,0.027851057258619256,205.37258580427746,12.347335150115432,168.34812633117886,12.514720793053412
STD_D1010_030920_256s_100x100_a,1.1835277079319813,0.08673136802304145,0.16444235944551855,0.027288380487877333,191.25189748096943,12.149850220578042,154.71177441159236,12.149585472818933
STD_D1010_030920_256s_100x100_b,1.1831149684898052,0.08698849433391687,0.16459201295792433,0.02732795301561193,191.37118475244108,11.970379284435651,156.44401077759835,12.24682364013029
STD_D1010_030920_256s_100x100_c,1.1898844902998393,0.08740301539776874,0.16457111954008471,0.02727711099620107,191.66409622946847,11.965588526032684,154.953947169406,11.929169511185737
STD_D1010_031020_256s_100x100_a,1.2354755600348113,0.09061392880449709,0.16694651272048755,0.027698084287670243,244.98240945210998,13.892417044024219,205.6410589311948,13.473345954594725
STD_D1010_031020_256s_100x100_b,1.22982930930893,0.09037848550642812,0.1667079670211366,0.027691792815223763,246.1811254313329,13.82099628829176,207.1097515296064,13.443013267075413
STD_D1010_031020_256s_100x100_c,1.2363192328381771,0.09079147008401635,0.16843422074239267,0.027921480721921355,253.884449458664,14.304197179719662,213.23686023857817,13.6933282106171
STD_ETF46_020320_256s_15x15_a,3.7636663545731337,0.38309277663908053,2.606095012649011,0.6784841217573399,2914.1009057422402,222.8144698733621,2763.416710049133,214.18046068142507
