Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
SH01MI05,49.14679667,1.89387,15.98338079,0,10.06726333,0.19012,4.507713333,9.836093333,3.68784,0.683486667,0.187558972,35.54266984,3
SH01MI10,46.4354525,1.5066175,18.49736242,0,9.378475,0.171595,4.830385,12.13585,2.9181125,0.349385,0.165068809,35.77928031,3
SH01MI11,46.244345,1.368425,18.0593154,0,10.5567825,0.1926275,5.215585,11.2550325,2.9035375,0.406455,0.153786994,65.56445741,3
SH01MI13,48.2841825,1.4722575,17.13536007,0,10.3237975,0.18436,4.584685,9.42573,3.6121125,0.6977875,0.158044446,42.33870594,3
SH01MI15,51.36252,2.87421,14.1295664,0,12.79816667,0.285396667,3.86552,7.17246,3.197993333,1.100923333,0.43057399,49.02821501,3
SH01MI16,49.670265,2.88904,13.50897707,0,13.85364,0.281475,4.65657,8.48962,3.13003,0.95516,0.304972929,42.95443658,3
SH01MI17,50.95223667,2.65383,14.72174335,0,12.95236,0.263596667,3.893856667,7.409103333,3.613573333,0.98481,0.377280327,44.02561998,3
SH01MI18,49.81492333,1.85736,16.21389707,0,12.42152667,0.23321,4.349436667,7.426506667,3.8287,0.7254,0.224718531,56.47420258,3
SH01MI19,49.89692,2.223253333,15.8682989,0,12.47527667,0.25777,4.877846667,7.270366667,3.567566667,0.772006667,0.270459834,30.34776321,3
SH01MI20,51.35828,2.3087775,14.58718085,0,12.8271425,0.2681775,3.7897125,6.9929525,3.6094975,0.9987525,0.361391946,63.98918553,3
SH01MI21,52.0151925,3.2013525,14.35477265,0,12.799155,0.2685675,3.6308275,7.288555,3.622085,1.135155,0.410837319,60.52947116,3
SH54MI03,48.38527333,2.327076667,18.55182732,0,12.02594667,0.20558,4.265883333,7.926266667,3.8985,1.24013,0.350003052,41.736975,3
SH54MI11,51.27121667,3.550326667,15.8298821,0,12.32780333,0.250993333,3.05473,8.556963333,3.588633333,1.02528,0.363230656,45.56352213,3
SH54MI12,51.59083,2.462783333,11.49106727,0,15.90209667,0.31923,4.551456667,6.753536667,3.041413333,1.137053333,0.469313714,91.99546971,3
SH55MI02,55.5651425,1.72445,15.42398836,0,9.0653925,0.1969875,3.01944,6.274125,3.44245,1.9383725,0.394228514,48.45664119,3
SH58MI01,50.1321375,1.851435,15.67349478,0,11.47129,0.208625,4.30887,9.2596175,3.5813825,0.8458625,0.20925378,65.76992839,3
SH58MI11A,52.545725,2.44287,15.17118479,0,12.753225,0.28164,3.3767,7.11595,3.90994,1.141045,0.466215146,39.9562058,3
SH58MI15,53.045524,2.447052,15.1134278,0,12.122334,0.26171,3.501654,7.497016,3.53437,0.866392,0.2904754,46.7222554,3
SH60MI01,48.38388333,1.96639,16.01117005,0,11.17650667,0.20731,6.12897,9.224613333,2.86512,0.859113333,0.271412402,59.8109405,3
SH60MI02,48.63467,1.868115,16.62988292,0,10.353015,0.19776,4.2121,9.952155,2.931235,0.854445,0.274113855,31.46303736,3
SH60MI23,48.4588275,1.6705075,16.58859306,0,10.6990625,0.2096125,5.8559525,10.0535875,2.8987025,0.8046375,0.242415533,50.21829869,3
SH60MI24,49.36802333,1.99244,16.23662803,0,11.04909333,0.21373,4.481316667,9.53747,2.194223333,0.8152,0.274398297,41.18562508,3
SH60MI25,48.925545,1.79534,15.90388968,0,10.99074,0.22333,5.884745,8.901165,2.92362,0.818955,0.254664716,67.44220126,3
TERRY3MI01,51.305695,1.49671,16.02306933,0,10.36971,0.2061975,4.95536,8.79932,3.3272075,0.891515,0.19259926,46.75751943,3
TERRY3MI03,50.369266,1.287356,16.18771509,0,11.065528,0.212988,4.68502,10.057412,2.894196,0.654122,0.168684734,71.92179673,3
TERRY3MI04A,50.87546333,1.48982,15.52166434,0,11.29774,0.21687,5.075416667,9.644506667,3.051026667,0.73703,0.205206394,49.02695923,3
TERRY3MI05,53.05326,2.2543,15.05857984,0,9.25261,0.18226,5.17295,8.81846,3.05033,1.20945,0.354688609,52.70256116,3
