Wavenumber,WD23MI02,WD33MI03,WD71AMI01,SH01MI11,SH01MI05,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,OK14MI01,WD35MI04A,OK14MI06C,FI45MI02,WD70MI03,Terry3MI03,WD70MI01A,WD35MI02,FI45MI06,WD35MI01,WD07MI01B,FI38MI05A,SH58MI01,SH63MI34,OK17MI05A,FI45MI04A,JFL30AMI12,SH63MI24
1342.235,0.011252659,0.005132735,0.039780863,0.011393667,0.007295076,0.027457443,0.007187292,0.010216122,0.011163186,0.006073333,0.013824576,0.018265159,0.003801219,0.004569195,0.008191265,0.001028538,0.013674773,0.01092186,0.009602386,0.014777927,0.010789721,0.013436087,0.015840009,0.008179518,0.006422186,0.0092241,0.011801666,0.002750481,0.011966627,0.014723543,0.010244202
1344.163,0.010181194,0.005172052,0.039363242,0.011516018,0.007144804,0.027255917,0.007206785,0.009878882,0.011154488,0.006126349,0.013379497,0.017728634,0.003727837,0.004827441,0.008032436,0.000857128,0.013628399,0.010827821,0.008289417,0.014643412,0.010472351,0.013539494,0.015293015,0.008205015,0.006226058,0.009011392,0.011536862,0.002857227,0.011989348,0.014650156,0.010152641
1346.092,0.010634014,0.005203105,0.03902421,0.011388147,0.006943822,0.026731332,0.00716461,0.009833635,0.011089331,0.006138602,0.012838813,0.016258725,0.003651461,0.004920963,0.007941995,0.000705362,0.013494187,0.010652051,0.007867514,0.014426951,0.010039898,0.013478562,0.014621822,0.008140776,0.006031232,0.008719252,0.011136534,0.002897205,0.011798359,0.014418381,0.009760536
1348.021,0.009758703,0.005203114,0.038756419,0.011109415,0.006808829,0.026410597,0.007072434,0.010029559,0.011002815,0.006037362,0.012329376,0.015111147,0.003767383,0.004773451,0.007980171,0.000614593,0.013412476,0.010495719,0.007893482,0.014263549,0.009641453,0.013240201,0.014123353,0.008041216,0.005921064,0.008438565,0.010778586,0.002941656,0.011594725,0.014172667,0.009288675
1349.949,0.007945474,0.005305189,0.038407654,0.010833323,0.006616863,0.026650655,0.007046048,0.01012955,0.010939459,0.00591643,0.011954374,0.013922258,0.003868395,0.004369921,0.008030776,0.000573016,0.013379911,0.010364358,0.0074727,0.014064085,0.009484449,0.012992853,0.013919937,0.007878332,0.005870459,0.008043009,0.010666419,0.003003451,0.011620824,0.013886908,0.008749173
1351.877,0.006305025,0.005378266,0.038019125,0.010452978,0.006382822,0.026670874,0.007160771,0.010006402,0.010943006,0.006028547,0.011822939,0.012994317,0.003910917,0.004152868,0.008076095,0.000574992,0.01328262,0.010278194,0.006091259,0.013890054,0.009525049,0.012830798,0.013866716,0.007637991,0.00599458,0.007657734,0.010759673,0.003065934,0.011688225,0.013505983,0.008300237
1353.806,0.005518377,0.005220361,0.037597531,0.009984079,0.006187987,0.026080301,0.007167807,0.009862078,0.010912405,0.006296774,0.011773845,0.012286859,0.003863658,0.004259369,0.008074021,0.000581123,0.013175186,0.010174105,0.005563093,0.013718846,0.009369548,0.012678485,0.013809451,0.007249332,0.006208423,0.007178168,0.010758031,0.003064007,0.011461295,0.013108967,0.007785173
1355.734,0.006177278,0.004984255,0.03698952,0.009531139,0.006062178,0.025654267,0.007146141,0.00982821,0.010806957,0.006582462,0.011808154,0.011919059,0.003792559,0.004763008,0.008036016,0.000584778,0.013099696,0.010018735,0.006063608,0.013542783,0.009133435,0.012334342,0.013738959,0.006870418,0.006422053,0.006727751,0.010674939,0.003030395,0.011038782,0.012711289,0.007209417
1357.663,0.006398409,0.004969738,0.036348909,0.009130121,0.006005178,0.025447556,0.007099613,0.009595634,0.010641543,0.006797992,0.01176175,0.011614224,0.003672056,0.004816394,0.007844559,0.000585438,0.012990889,0.009828003,0.005686293,0.013383694,0.008843969,0.011962971,0.013595338,0.006524264,0.00654905,0.006256855,0.01048177,0.002915108,0.010743096,0.012280643,0.006666547
1359.591,0.004861261,0.005239001,0.035938178,0.008863546,0.005987025,0.025390557,0.007025124,0.009273305,0.010512888,0.006882071,0.01172067,0.011571908,0.003643734,0.004725222,0.007708575,0.000649499,0.013046645,0.009744642,0.004579021,0.013399639,0.00856351,0.011745009,0.0136467,0.006334124,0.006721197,0.005950833,0.010359352,0.002719395,0.010709599,0.012081181,0.006308831
