Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
CI_Ref_bas_7_1_100x100_256s_060223_sp1,44.90,4.36,15.09,13.96,,0.18,5.42,10.52,4.27,1.74,0.96,20.50,3.00
CI_Ref_bas_7_1_100x100_256s_sp2,44.90,4.36,15.09,13.96,,0.18,5.42,10.52,4.27,1.74,0.96,19.40,3.00
CI_Ref_bas_7_1_100x100_256s_sp3,44.90,4.36,15.09,13.96,,0.18,5.42,10.52,4.27,1.74,0.96,23.70,3.00
CI_Ref_bas_7_1_100x100_256s_sp4,44.90,4.36,15.09,13.96,,0.18,5.42,10.52,4.27,1.74,0.96,24.90,3.00
CI_Ref_bas_7_1_100x100_256s_sp5,44.90,4.36,15.09,13.96,,0.18,5.42,10.52,4.27,1.74,0.96,23.30,3.00
CI_Ref_bas_7_2_100x100_256s_sp1,44.90,4.36,15.09,13.96,,0.18,5.42,10.52,4.27,1.74,0.96,25.10,3.00
CI_Ref_bas_7_2_100x100_256s_sp2,44.90,4.36,15.09,13.96,,0.18,5.42,10.52,4.27,1.74,0.96,24.50,3.00
CI_Ref_bas_7_2_100x100_256s_sp3,44.90,4.36,15.09,13.96,,0.18,5.42,10.52,4.27,1.74,0.96,23.30,3.00
CI_Ref_bas_8_1_100x100_256s_051423_sp1,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,31.50,3.00
CI_Ref_bas_8_1_100x100_256s_060223_sp1,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,31.50,3.00
CI_Ref_bas_8_1_100x100_256s_sp2,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,30.70,3.00
CI_Ref_bas_8_1_100x100_256s_sp3,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,31.70,3.00
CI_Ref_bas_8_1_100x100_256s_sp4,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,30.10,3.00
CI_Ref_bas_8_2_100x100_256s_sp1,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,30.40,3.00
CI_Ref_bas_8_2_100x100_256s_sp2,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,25.60,3.00
CI_Ref_bas_8_2_100x100_256s_sp3,44.63,4.33,14.99,13.83,,0.19,5.40,11.15,4.18,1.70,0.98,21.00,3.00
CI_Ref_bas_9_1_100x100_256s_050923_sp1,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,23.20,3.00
CI_Ref_bas_9_1_100x100_256s_050923_sp2,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,25.50,3.00
CI_Ref_bas_9_1_100x100_256s_050923_sp3,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,28.70,3.00
CI_Ref_bas_9_1_100x100_256s_050923_sp4,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,26.40,3.00
CI_Ref_bas_9_1_100x100_256s_051423_sp1,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,23.20,3.00
CI_Ref_bas_9_1_100x100_256s_051423_sp2,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,25.50,3.00
CI_Ref_bas_9_1_100x100_256s_051423_sp3,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,28.70,3.00
CI_Ref_bas_9_1_100x100_256s_060223_sp1,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,23.20,3.00
CI_Ref_bas_9_1_100x100_256s_060223_sp2,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,25.50,3.00
CI_Ref_bas_9_1_100x100_256s_060223_sp3,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,28.70,3.00
CI_Ref_bas_9_1_100x100_256s_060223_sp4,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,26.40,3.00
CI_Ref_bas_9_2_100x100_256s_sp1,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,26.70,3.00
CI_Ref_bas_9_2_100x100_256s_sp2,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,24.40,3.00
CI_Ref_bas_9_chip2_100x100_256s_sp1,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,39.10,3.00
CI_Ref_bas_9_chip2_100x100_256s_sp3,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,41.10,3.00
CI_Ref_bas_9_chip2_100x100_256s_sp4,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,39.70,3.00
ETFSR_Ol8_256s_1,45.38,0.78,8.74,2.66,6.20,0.17,16.10,11.80,1.48,0.66,0.34,38.00,3.00
ETFSR_Ol8_256s_2,45.38,0.78,8.74,2.66,6.20,0.17,16.10,11.80,1.48,0.66,0.34,38.00,3.00
ETFSR_Ol8_256s_3,45.38,0.78,8.74,2.66,6.20,0.17,16.10,11.80,1.48,0.66,0.34,38.00,3.00
FAB1_50x50_051823_sp1,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,96.70,3.00
FAB1_50x50_051823_sp2,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,96.70,3.00
FAB1_75x75_051823_sp3,51.34,0.96,14.78,,11.92,0.20,6.77,11.61,2.29,0.31,,96.70,3.00
Fiege63_256s_1,46.78,2.72,14.87,,10.57,0.14,10.52,9.80,2.93,0.92,0.40,156.00,3.00
Fiege63_256s_2,46.78,2.72,14.87,,10.57,0.14,10.52,9.80,2.93,0.92,0.40,156.00,3.00
Fiege63_256s_3,46.78,2.72,14.87,,10.57,0.14,10.52,9.80,2.93,0.92,0.40,156.00,3.00
Fiege73_256s_1,46.78,2.72,14.87,,10.57,0.14,10.52,9.80,2.93,0.92,0.40,163.80,3.00
Fiege73_256s_2,46.78,2.72,14.87,,10.57,0.14,10.52,9.80,2.93,0.92,0.40,163.80,3.00
Fiege73_256s_3,46.78,2.72,14.87,,10.57,0.14,10.52,9.80,2.93,0.92,0.40,163.80,3.00
Fiege73_256s_4,46.78,2.72,14.87,,10.57,0.14,10.52,9.80,2.93,0.92,0.40,163.80,3.00
Glass_exp_ND70_4_01_33um_full_apt400um_dried_best,49.77,0.83,16.39,,8.16,0.15,8.27,12.78,2.05,0.16,0.09,33.00,3.00
Glass_exp_ND70_4_01_33um_reflected_apt400um_CaF2,49.77,0.83,16.39,,8.16,0.15,8.27,12.78,2.05,0.16,0.09,33.00,3.00
