,Density,Density_Sat,Tau,Eta,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
AC4_OL27_020520_256s_20x25_c,2705.7608583284014,2686.38198416268,0.6939064233828023,0.4896321369465031,65.24875011332239,7.459824966487302,35.82067965134327,8.571529928125122,262.903256252196,19.076806815788114,0.9529589119061468,0.29822928552209294,0.8185097065410636,0.2771111830246679
AC4_OL29_012821_256s_10x12_a,2695.5142086294904,2695.5142086294904,0.6990938957899764,0.5098057714806246,65.61897322862102,7.487483768915644,36.46522586804491,8.603130905230326,256.1560945322411,19.46371899976278,0.9772130843951166,0.299345006532402,0.8368345669437991,0.27815477410135847
AC4_OL29_012821_256s_12x22_a,2696.7680596336095,2696.7680596336095,0.6990938957899764,0.5098057714806246,65.61897322862102,7.487483768915644,36.46522586804491,8.603130905230326,256.1560945322411,19.46371899976278,0.9772130843951166,0.299345006532402,0.8368345669437991,0.27815477410135847
AC4_OL29_012821_256s_12x22_b,2696.3326130212417,2696.3326130212417,0.6990938957899764,0.5098057714806246,65.61897322862102,7.487483768915644,36.46522586804491,8.603130905230326,256.1560945322411,19.46371899976278,0.9772130843951166,0.299345006532402,0.8368345669437991,0.27815477410135847
AC4_OL29_012821_256s_12x22_c,2697.01794827256,2697.01794827256,0.6990938957899764,0.5098057714806246,65.61897322862102,7.487483768915644,36.46522586804491,8.603130905230326,256.1560945322411,19.46371899976278,0.9772130843951166,0.299345006532402,0.8368345669437991,0.27815477410135847
AC4_OL32_MI1_021420_256s_25x30_a,2700.09132471011,2708.320432321008,0.7034908185181823,0.46244785145588235,65.93277584816123,7.51095694232322,37.011545864981244,8.629873498515803,271.9951613393241,18.548918457606156,0.9977710197246799,0.30028841857181227,0.8523667932134864,0.27903894318599076
AC4_OL32_MI1_021420_256s_25x30_b,2700.1831543713524,2700.1831543713524,0.7034908185181823,0.46244785145588235,65.93277584816123,7.51095694232322,37.011545864981244,8.629873498515803,271.9951613393241,18.548918457606156,0.9977710197246799,0.30028841857181227,0.8523667932134864,0.27903894318599076
AC4_OL32_MI1_021420_256s_25x30_c,2700.581749403535,2705.9494019494964,0.7034908185181823,0.46244785145588235,65.93277584816123,7.51095694232322,37.011545864981244,8.629873498515803,271.9951613393241,18.548918457606156,0.9977710197246799,0.30028841857181227,0.8523667932134864,0.27903894318599076
AC4_OL32_MI2_021220_20x35_256s_a,2707.81414741069,2697.938759721352,0.6969874314945136,0.47598939528830686,65.4686376292156,7.476247868320451,36.20349655448173,8.590305352365744,267.4661318270323,18.81284794492108,0.9673642516006802,0.2988923008224138,0.8293934354778623,0.27773106486800564
AC4_OL32_MI2_021220_20x35_256s_b,2707.875020057995,2696.905316562934,0.6969874314945136,0.47598939528830686,65.4686376292156,7.476247868320451,36.20349655448173,8.590305352365744,267.4661318270323,18.81284794492108,0.9673642516006802,0.2988923008224138,0.8293934354778623,0.27773106486800564
AC4_OL32_MI2_021220_20x35_256s_c,2707.6734769789355,2698.9564434690865,0.6969874314945136,0.47598939528830686,65.4686376292156,7.476247868320451,36.20349655448173,8.590305352365744,267.4661318270323,18.81284794492108,0.9673642516006802,0.2988923008224138,0.8293934354778623,0.27773106486800564
