,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Ot_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,ERR_5200,PH_4500_S2N,ERR_4500,Density,Density_Sat,Tau,Eta,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
AC4_OL36_MI1_021420_256s_20x25_H2O_a,2.46845531,0.237825957,2.46845531,0.237825957,-,1.013652329,0.165447095,187.2355141,32.23498858,173.4250752,43.30056416,201.045953,47.76441248,1.988994775,0.429457866,0.952349258,0.231271181,6.602690199,-,5.185956245,-,2726.132109,2726.132109,0.689869168,0.438453759,64.96061646,7.438325232,35.31904848,8.546897882,280.0200922,18.07628589,0.93408261,0.29735892,0.804248012,0.276298645
AC4_OL36_MI1_021420_256s_20x25_H2O_b,2.790190379,0.268546772,2.790190379,0.268546772,-,1.069802546,0.17451195,247.9117056,33.99080636,207.9029852,45.14435219,287.920426,50.82801523,1.674550665,0.363791254,1.261874061,0.303636156,6.576683686,-,6.203671897,-,2717.319841,2717.319841,0.689869168,0.438453759,64.96061646,7.438325232,35.31904848,8.546897882,280.0200922,18.07628589,0.93408261,0.29735892,0.804248012,0.276298645
AC4_OL36_MI1_021420_256s_20x25_H2O_c,2.443809305,0.234869947,2.443809305,0.234869947,-,1.002693246,0.163811507,175.3692348,31.76371743,159.6306042,42.65123444,191.1078654,47.08085789,1.995132803,0.425282095,0.740242311,0.171981368,11.46432885,-,4.252843043,-,2726.811875,2726.811875,0.689869168,0.438453759,64.96061646,7.438325232,35.31904848,8.546897882,280.0200922,18.07628589,0.93408261,0.29735892,0.804248012,0.276298645
AC4_OL36_MI2_021420_256s_15x20_a,2.69867083,0.259561967,2.69867083,0.259561967,-,1.033801956,0.170793904,159.3401055,26.37264225,14.52779747,26.60701537,304.1524135,45.54263684,1.013777853,0.220646496,1.273069749,0.305118554,4.002695249,-,5.587055941,-,2740.543457,2740.543457,0.685019511,0.389298105,64.61450279,7.412529919,34.71647602,8.517264871,296.460419,17.08614838,0.911407903,0.296311039,0.787116492,0.275322204
AC4_OL36_MI2_021420_256s_15x20_b,2.696749521,0.259363117,2.696749521,0.259363117,-,1.035486007,0.171267278,153.9537171,24.64567085,1.76E-30,21.17682499,307.9074343,44.51043079,0.799908613,0.178969689,1.337117375,0.314334976,2.994146711,*,5.341905605,-,2740.597368,2740.597368,0.685019511,0.389298105,64.61450279,7.412529919,34.71647602,8.517264871,296.460419,17.08614838,0.911407903,0.296311039,0.787116492,0.275322204
AC4_OL36_MI2_021420_256s_15x20_c,2.544450412,0.245320141,2.544450412,0.245320141,-,0.991238717,0.163819714,143.9966562,22.80848046,2.39E-25,16.76573564,287.9933125,42.42425287,1.111481258,0.268887941,1.333139173,0.318004369,4.422104744,-,5.456352786,-,2744.884276,2744.884276,0.685019511,0.389298105,64.61450279,7.412529919,34.71647602,8.517264871,296.460419,17.08614838,0.911407903,0.296311039,0.787116492,0.275322204
AC4_OL3_101220_256s_30x30_a,2.407127734,0.22812821,2.407127734,0.22812821,-,0.552512738,0.088685281,478.3762047,51.51512916,406.7081409,65.05723572,550.0442686,79.89236641,0.684120626,0.151256874,1.208322973,0.272799831,5.137691746,-,7.692783664,-,2695.840958,2695.840958,0.697434928,0.552236074,65.50057488,7.4786343,36.25909826,8.59303076,241.9650912,20.26518554,0.969456535,0.298988514,0.830974227,0.277821084
AC4_OL3_101220_256s_30x30_b,2.414863229,0.228679959,2.414863229,0.228679959,-,0.552659201,0.088713925,481.4358651,49.82361363,412.6392649,63.69584902,550.2324652,76.63164306,0.779857578,0.189548998,1.316671068,0.316497167,4.668788672,-,9.346067963,-,2695.63544,2695.63544,0.697434928,0.552236074,65.50057488,7.4786343,36.25909826,8.59303076,241.9650912,20.26518554,0.969456535,0.298988514,0.830974227,0.277821084
AC4_OL3_101220_256s_30x30_c,2.410645209,0.228738894,2.410645209,0.228738894,-,0.555278644,0.089193107,488.7217757,49.90603275,423.5960283,63.98032209,553.8475232,76.60918226,0.866112989,0.204756624,1.198908424,0.267394631,4.253562072,-,8.855557005,-,2695.747497,2695.747497,0.697434928,0.552236074,65.50057488,7.4786343,36.25909826,8.59303076,241.9650912,20.26518554,0.969456535,0.298988514,0.830974227,0.277821084
AC4_OL40_021420_256s_15x25_a,2.021904172,0.164736183,2.021904172,0.164736183,-,0.915603108,0.13354302,164.4777951,19.09721736,12.15337151,14.79944972,316.8022187,35.21066786,1.336076808,0.252452397,1.401054528,0.301782091,4.589956249,-,6.085680727,-,2673.967603,2673.967603,0.711874452,0.536795563,66.53110482,7.555787308,38.05321685,8.680756973,247.1292387,19.97537407,1.036968935,0.30208151,0.881982164,0.280723831
AC4_OL40_021420_256s_15x25_b,2.045409777,0.166743375,2.045409777,0.166743375,-,0.941350923,0.137109579,143.7403443,18.93538917,14.56862866,16.34829386,272.91206,34.16034454,1.189279743,0.227412179,1.287256921,0.289502988,3.251565161,*,4.012562873,-,2673.353912,2673.353912,0.711874452,0.536795563,66.53110482,7.555787308,38.05321685,8.680756973,247.1292387,19.97537407,1.036968935,0.30208151,0.881982164,0.280723831
AC4_OL40_021420_256s_15x25_c,2.046583979,0.166955186,2.046583979,0.166955186,-,0.953850711,0.139111305,123.6928512,17.96901337,19.06316667,16.0589449,228.3225358,32.15045963,1.221292403,0.231404458,1.414012532,0.296046649,3.304861946,*,5.54559324,-,2673.32327,2673.32327,0.711874452,0.536795563,66.53110482,7.555787308,38.05321685,8.680756973,247.1292387,19.97537407,1.036968935,0.30208151,0.881982164,0.280723831
AC4_OL43_101220_256s_30x30_a,2.807960035,0.173096979,3.171375639,0.265848177,*,1.419072526,0.204446893,311.3225542,28.51552385,286.1451281,38.48570318,334.260872,41.88516246,1.324769883,0.239675684,1.37878974,0.277618006,8.986914703,-,10.86045414,-,2640.414317,2649.943841,0.721485225,0.453271903,67.2170131,7.607297117,39.2473605,8.738918791,275.064098,18.36894177,1.081904372,0.304127979,0.915932431,0.282653816
AC4_OL43_101220_256s_30x30_b,2.790318958,0.173850707,3.167823402,0.265555295,*,1.420922274,0.204391323,322.6938944,29.00007654,292.4487353,38.87755145,350.5276594,42.72855361,1.345416293,0.244892557,1.358971078,0.279635206,6.996596713,-,13.37325003,-,2640.492991,2650.395795,0.721485225,0.453271903,67.2170131,7.607297117,39.2473605,8.738918791,275.064098,18.36894177,1.081904372,0.304127979,0.915932431,0.282653816
AC4_OL43_101220_256s_30x30_c,2.776982608,0.1693389,3.173680625,0.265791436,*,1.420032782,0.204378256,332.1576146,29.60007329,295.5846332,39.33803086,366.1220948,44.01419086,1.348109545,0.253513321,1.346045721,0.26847906,8.349695962,-,11.5154862,-,2640.329283,2650.737674,0.721485225,0.453271903,67.2170131,7.607297117,39.2473605,8.738918791,275.064098,18.36894177,1.081904372,0.304127979,0.915932431,0.282653816
