Wavenumber,Absorbance,STD
5312,0.006763859,3.60E-06
5313,0.006704314,3.60E-06
5314,0.006644758,3.60E-06
5315,0.006584992,3.60E-06
5316,0.006524826,3.60E-06
5317,0.006464083,3.60E-06
5318,0.006402594,3.60E-06
5319,0.006340202,3.60E-06
5320,0.006276761,3.60E-06
5321,0.00621214,3.60E-06
5322,0.006146216,3.60E-06
5323,0.006078883,3.60E-06
5324,0.006010046,3.60E-06
5325,0.005939624,3.60E-06
5326,0.005867549,3.60E-06
5327,0.005793767,3.60E-06
5328,0.005718237,3.60E-06
5329,0.005640931,3.60E-06
5330,0.005561836,3.60E-06
5331,0.00548095,3.60E-06
5332,0.005398286,3.60E-06
5333,0.005313869,3.60E-06
5334,0.005227736,3.60E-06
5335,0.005139936,3.60E-06
5336,0.00505053,3.60E-06
5337,0.004959589,3.60E-06
5338,0.004867198,3.60E-06
5339,0.004773447,3.60E-06
5340,0.00467844,3.60E-06
5341,0.004582287,3.60E-06
5342,0.004485108,3.60E-06
5343,0.004387029,3.60E-06
5344,0.004288183,3.60E-06
5345,0.004188711,3.60E-06
5346,0.004088757,3.60E-06
5347,0.003988471,3.60E-06
5348,0.003888006,3.60E-06
5349,0.003787519,3.61E-06
5350,0.003687168,3.61E-06
5351,0.003587113,3.61E-06
5352,0.003487515,3.61E-06
5353,0.003388535,3.61E-06
5354,0.003290332,3.61E-06
5355,0.003193066,3.61E-06
5356,0.003096891,3.61E-06
5357,0.003001961,3.61E-06
5358,0.002908424,3.61E-06
5359,0.002816426,3.61E-06
5360,0.002726106,3.61E-06
5361,0.002637598,3.61E-06
5362,0.002551029,3.61E-06
5363,0.00246652,3.61E-06
5364,0.002384186,3.61E-06
5365,0.002304131,3.61E-06
5366,0.002226453,3.61E-06
5367,0.002151241,3.61E-06
5368,0.002078575,3.61E-06
5369,0.002008526,3.61E-06
5370,0.001941155,3.61E-06
5371,0.001876513,3.61E-06
5372,0.001814641,3.61E-06
5373,0.001755572,3.61E-06
5374,0.001699327,3.61E-06
5375,0.001645917,3.61E-06
5376,0.001595343,3.61E-06
5377,0.001547596,3.61E-06
5378,0.001502658,3.62E-06
5379,0.0014605,3.62E-06
5380,0.001421084,3.62E-06
5381,0.001384361,3.62E-06
5382,0.001350276,3.62E-06
5383,0.001318763,3.62E-06
5384,0.001289748,3.62E-06
5385,0.001263148,3.62E-06
5386,0.001238875,3.63E-06
5387,0.00121683,3.63E-06
5388,0.001196911,3.63E-06
5389,0.001179007,3.63E-06
5390,0.001163002,3.63E-06
5391,0.001148776,3.63E-06
5392,0.001136202,3.63E-06
5393,0.001125151,3.63E-06
5394,0.001115489,3.63E-06
5395,0.00110708,3.63E-06
5396,0.001099785,3.63E-06
5397,0.001093465,3.63E-06
5398,0.001087976,3.63E-06
5399,0.001083178,3.63E-06
5400,0.001078929,3.63E-06
5401,0.001075086,3.63E-06
5402,0.00107151,3.63E-06
5403,0.001068063,3.63E-06
5404,0.001064608,3.63E-06
5405,0.001061014,3.64E-06
5406,0.00105715,3.64E-06
5407,0.001052892,3.64E-06
5408,0.001048117,3.65E-06
5409,0.001042712,3.66E-06
5410,0.001036565,3.67E-06
5411,0.001029571,3.68E-06
5412,0.001021633,3.69E-06
5413,0.001012658,3.71E-06
5414,0.001002562,3.72E-06
5415,0.000991268,3.75E-06
5416,0.000978705,3.77E-06
5417,0.000964812,3.80E-06
5418,0.000949534,3.84E-06
5419,0.000932826,3.88E-06
5420,0.000914649,3.93E-06
5421,0.000894975,3.98E-06
5422,0.000873783,4.04E-06
5423,0.000851062,4.11E-06
5424,0.000826806,4.19E-06
5425,0.000801022,4.27E-06
5426,0.000773723,4.37E-06
5427,0.000744931,4.47E-06
5428,0.000714677,4.59E-06
5429,0.000682998,4.72E-06
5430,0.00064994,4.86E-06
