fitted_baseline,Sample ID,Repeats,Sub_Repeats,PH_1430,PH_1515,,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness,,
EH_bas_volatile_free_2_100x100_256s_sp1.CSV,CI_Ref_bas_7_1_100x100_256s_060223_sp1,CI_Ref_bas_7,CI_Ref_bas_7,0.162016966,0.183256038,,44.9016051,4.3550864,15.0865671,13.96386463,,0.1807545,5.4159005,10.5167959,4.2710955,1.7440388,0.9632621,20.4846135,3,,12.5648898
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_7_1_100x100_256s_sp2,CI_Ref_bas_7,CI_Ref_bas_7,0.166076612,0.157538906,,44.9016051,4.3550864,15.0865671,13.96386463,,0.1807545,5.4159005,10.5167959,4.2710955,1.7440388,0.9632621,19.3728625,3,,12.5648898
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_7_1_100x100_256s_sp5,CI_Ref_bas_7,CI_Ref_bas_7,0.217489381,0.219349928,,44.9016051,4.3550864,15.0865671,13.96386463,,0.1807545,5.4159005,10.5167959,4.2710955,1.7440388,0.9632621,23.3092305,3,,12.5648898
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_7_2_100x100_256s_sp2,CI_Ref_bas_7,CI_Ref_bas_7,0.168604005,0.162015642,,44.9016051,4.3550864,15.0865671,13.96386463,,0.1807545,5.4159005,10.5167959,4.2710955,1.7440388,0.9632621,24.4576935,3,,12.5648898
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_8_1_100x100_256s_sp2,CI_Ref_bas_8,CI_Ref_bas_8,0.311482229,0.309101378,,44.6281565,4.3320653,14.9928971,13.83426405,,0.1891341,5.4010134,11.1523256,4.1809357,1.6980179,0.9771805,30.6554754,3,,12.4482733
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_8_1_100x100_256s_sp3,CI_Ref_bas_8,CI_Ref_bas_8,0.274508228,0.266218369,,44.6281565,4.3320653,14.9928971,13.83426405,,0.1891341,5.4010134,11.1523256,4.1809357,1.6980179,0.9771805,31.7370324,3,,12.4482733
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_8_1_100x100_256s_sp4,CI_Ref_bas_8,CI_Ref_bas_8,0.296875608,0.294138691,,44.6281565,4.3320653,14.9928971,13.83426405,,0.1891341,5.4010134,11.1523256,4.1809357,1.6980179,0.9771805,30.119044,3,,12.4482733
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_8_2_100x100_256s_sp1,CI_Ref_bas_8,CI_Ref_bas_8,0.245163462,0.241281849,,44.6281565,4.3320653,14.9928971,13.83426405,,0.1891341,5.4010134,11.1523256,4.1809357,1.6980179,0.9771805,30.3676305,3,,12.4482733
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_8_2_100x100_256s_sp2,CI_Ref_bas_8,CI_Ref_bas_8,0.207480129,0.207474604,,44.6281565,4.3320653,14.9928971,13.83426405,,0.1891341,5.4010134,11.1523256,4.1809357,1.6980179,0.9771805,25.6071111,3,,12.4482733
EH_bas_volatile_free_1_100x100_256s_sp1.CSV,CI_Ref_bas_8_2_100x100_256s_sp3,CI_Ref_bas_8,CI_Ref_bas_8,0.226296208,0.226748893,,44.6281565,4.3320653,14.9928971,13.83426405,,0.1891341,5.4010134,11.1523256,4.1809357,1.6980179,0.9771805,20.9682661,3,,12.4482733
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_9_1_100x100_256s_051423_sp1,CI_Ref_bas_9,CI_Ref_bas_9,0.6598024,0.657487649,,44.6778499,4.3224156,14.9567546,14.15450223,,0.1877777,5.525123,10.6238535,4.2367387,1.6976381,1.0354198,40.3855895,3,,12.7364283
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_9_1_100x100_256s_051423_sp2,CI_Ref_bas_9,CI_Ref_bas_9,0.730460511,0.730901597,,44.6778499,4.3224156,14.9567546,14.15450223,,0.1877777,5.525123,10.6238535,4.2367387,1.6976381,1.0354198,38.4022823,3,,12.7364283
EH_bas_volatile_free_1_100x100_256s_sp2.CSV,CI_Ref_bas_9_1_100x100_256s_051423_sp3,CI_Ref_bas_9,CI_Ref_bas_9,0.605764729,0.602121433,,44.6778499,4.3224156,14.9567546,14.15450223,,0.1877777,5.525123,10.6238535,4.2367387,1.6976381,1.0354198,43.5279636,3,,12.7364283
